Field Position,Field Name,Description,Date Bound Notes,Respective Disclosure Notes,CAS,CIRT,Single-Family (SF) Loan Performance,Type,Max Length
1,Reference Pool ID,A unique identifier for the reference pool.,,,√,√,NA,ALPHA-NUMERIC,X(4)
2,Loan Identifier,A unique identifier for the mortgage loan.,,The Loan Identifier does not correspond to other mortgage loan identifiers found in existing Fannie Mae disclosures.,√,√,√,ALPHA-NUMERIC,X(12)
3,Monthly Reporting Period,The month and year that pertains to the servicer’s cut-off period for mortgage loan information.,SF Loan Performance: Enhanced format with the October 2020 Release,,√,√,√,DATE,MMYYYY
4,Channel,The origination channel used by the party that delivered the loan to the issuer.,,Retail = R; Correspondent = C; Broker = B,√,√,√,ALPHA-NUMERIC,X(1)
5,Seller Name,The name of the entity that delivered the mortgage loan to Fannie Mae.,,"CAS/CIRT: For sellers whose combined loans' contribution to the At Issuance UPB represents less than 1% of the total At Issuance reference pool UPB, the file will reflect ""Other"".

SF Loan Performance: For sellers that represent less than one percent of volume within a given acquisition quarter as represented by the original unpaid principal balance, ""Other"" will be displayed in this field.",√,√,√,ALPHA-NUMERIC,X(50)
6,Servicer Name,The name of the entity that serves as the primary servicer of the mortgage loan.,"SF Loan Performance: For activity periods prior to December 2001, Servicer Name will be blank since the servicer information for this period is unavailable. ","CAS/CIRT: For servicers whose combined loans' contribution to the At Issuance UPB represents less than 1% of the total At Issuance reference pool UPB, the file will reflect ""Other"".

SF Loan Performance: For servicers that represent less than one percent of the current actual unpaid principal balance for the last month of a given quarter, ""Other"" will be displayed in this field. ",√,√,√,ALPHA-NUMERIC,X(50)
7,Master Servicer,Fannie Mae,,,√,√,NA,ALPHA-NUMERIC,X(10)
8,Original Interest Rate,The original interest rate on a mortgage loan as identified in the original mortgage note.,CAS/CIRT: Enhanced format starting with the July 2020 activity period,,√,√,√,NUMERIC,9(2).999
9,Current Interest Rate,The rate of interest in effect for the periodic installment due.,CAS/CIRT: Enhanced format starting with the July 2020 activity period,"For a mortgage loan that has been modified, this value will be updated to reflect the modified terms, if applicable.",√,√,√,NUMERIC,9(2).999
10,Original UPB,The dollar amount of the loan as stated on the note at the time the loan was originated.,SF Loan Performance: Enhanced format with the October 2020 Release,Values disclosed will be rounded.,√,√,√,NUMERIC,9(10).99
11,UPB at Issuance,The unpaid principal balance of the loan as of the cut-off date of the reference pool.,,Cut-off date as is defined in each of the individual CRT offering documents.,√,√,NA,NUMERIC,9(10).99
12,Current Actual UPB,"The current actual outstanding unpaid principal balance of a mortgage loan, reflective of payments actually received from the related borrower.",,"For a mortgage loan that has been modified, the current actual UPB will be updated to reflect the modified terms, including principal forgiveness, if applicable. The current actual UPB will be reduced to zero in the month in which the loan is removed from the Reference Pool, as applicable. 

Any non-interest-bearing deferral amount created as a result of a Payment Deferral will be included in the Current Actual UPB. 

The Current Actual UPB includes the sum of the Interest Bearing UPB, Modification-Related Non-Interest Bearing UPB and Total Deferral Amount. 

Due to borrower privacy considerations, this value will be masked for the first six months of the life of the loan.",√,√,√,NUMERIC,9(10).99
13,Original Loan Term,"For fixed-rate, adjustable-rate and Interest-only mortgages, the number of months in which regularly scheduled borrower payments are due at the time the loan was originated.",,,√,√,√,NUMERIC,9(3)
14,Origination Date,The date of each individual note.,SF Loan Performance: Enhanced format with the October 2020 Release,,√,√,√,DATE,MMYYYY
15,First Payment Date,The date of the first scheduled mortgage loan payment to be made by the borrower under the terms of the mortgage loan documents.,SF Loan Performance: Enhanced format with the October 2020 Release,,√,√,√,DATE,MMYYYY
16,Loan Age,"The number of calendar months since the mortgage loan's origination date. For purposes of calculating this data element, origination means the date on which the first full month of interest begins to accrue.",,,√,√,√,NUMERIC,9(3)
17,Remaining Months to Legal Maturity,The number of calendar months remaining until the mortgage loan is due to be paid in full based on the maturity date as defined in the mortgage documents.,,,√,√,√,NUMERIC,9(3)
18,Remaining Months To Maturity,"The number of calendar months remaining until the outstanding unpaid principal balance of the mortgage loan amortizes to a zero balance, taking into account any additional prepayments, which could lead to the loan paying off earlier than its maturity date.",,This field will be left blank for mortgage loans that have been modified.  ,√,√,√,NUMERIC,9(3)
19,Maturity Date,The month and year in which a mortgage loan is scheduled to be paid in full as defined in the mortgage loan documents.,SF Loan Performance: Enhanced format with the October 2020 Release,"For a mortgage loan that has been modified, the maturity date will be updated to reflect the modified terms, if applicable.",√,√,√,DATE,MMYYYY
